# t,winchvel,rotvel,lightbright
0,-0.2,-0.8,0.2
83,-0.2,-0.784646,0.859272
166,-0.2,-0.769292,0.818046
249,-0.2,-0.753938,0.776821
332,-0.2,-0.738584,0.735596
415,-0.2,-0.723229,0.694371
498,-0.2,-0.707875,0.653146
581,-0.2,-0.692521,0.611921
664,-0.2,-0.677167,0.570695
747,-0.2,-0.661813,0.52947
830,-0.2,-0.646459,0.488245
913,-0.2,-0.631105,0.44702
996,-0.2,-0.615751,0.405795
1079,-0.2,-0.600396,0.36457
1162,-0.2,-0.585042,0.323344
1245,-0.194605,-0.569688,0.308093
1328,-0.182166,-0.554334,0.326752
1411,-0.169726,-0.53898,0.34541
1494,-0.157287,-0.523626,0.364069
1577,-0.144848,-0.508272,0.382728
1660,-0.132409,-0.492918,0.401386
1743,-0.11997,-0.477563,0.420045
1826,-0.107531,-0.462209,0.438704
1909,-0.0950918,-0.446855,0.457362
1992,-0.0826526,-0.431501,0.476021
2075,-0.0702136,-0.416147,0.49468
2158,-0.0577744,-0.400793,0.513338
2241,-0.0453353,-0.385439,0.531997
2324,-0.0328962,-0.370085,0.550656
2407,-0.0204571,-0.35473,0.569314
2490,-0.00801796,-0.339376,0.587973
2573,0.00442111,-0.324022,0.606632
2656,0.0168602,-0.308668,0.62529
2739,0.0292994,-0.293314,0.643949
2822,0.0417385,-0.27796,0.662608
2905,0.0541776,-0.262606,0.681266
2988,0.0666168,-0.247252,0.699925
3071,0.0790558,-0.231897,0.718584
3154,0.091495,-0.216543,0.737242
3237,0.103934,-0.201189,0.755901
3320,0.116373,-0.185835,0.77456
3403,0.128812,-0.170481,0.793218
3486,0.141251,-0.155127,0.811877
3569,0.153691,-0.139773,0.830536
3652,0.16613,-0.124419,0.849194
3735,0.178569,-0.109065,0.867853
3818,0.191008,-0.0937104,0.886512
3901,0.196212,-0.0783563,0.204176
3984,0.182542,-0.0630021,0.21993
4067,0.168872,-0.047648,0.235683
4150,0.155202,-0.0322939,0.251437
4233,0.141532,-0.0169398,0.267191
4316,0.127862,-0.00158566,0.282945
4399,0.114192,0.0137686,0.298698
4482,0.100522,0.0291226,0.314452
4565,0.0868516,0.0444767,0.330206
4648,0.0731815,0.0598309,0.34596
4731,0.0595114,0.0751849,0.361714
4814,0.0458413,0.0905391,0.377467
4897,0.0321714,0.105893,0.393221
4980,0.0185013,0.121247,0.408975
5063,0.00483119,0.136601,0.424729
5146,-0.00883883,0.151956,0.440483
5229,-0.0225089,0.16731,0.456236
5312,-0.0361789,0.182664,0.47199
5395,-0.049849,0.198018,0.487744
5478,-0.0635191,0.213372,0.503498
5561,-0.0771891,0.228726,0.519252
5644,-0.0908592,0.24408,0.535005
5727,-0.104529,0.259434,0.550759
5810,-0.118199,0.274789,0.566513
5893,-0.131869,0.290143,0.582267
5976,-0.145539,0.305497,0.598021
6059,-0.159209,0.320851,0.613774
6142,-0.172879,0.336205,0.629528
6225,-0.18655,0.351559,0.645282
6308,-0.20022,0.366913,0.661036
6391,-0.21389,0.382267,0.67679
6474,-0.22756,0.397622,0.692543
6557,-0.24123,0.412976,0.708297
6640,-0.2549,0.42833,0.724051
6723,-0.26857,0.443684,0.739805
6806,-0.28224,0.459038,0.755559
6889,-0.29591,0.474392,0.771312
6972,-0.30958,0.489746,0.787066
7055,-0.32325,0.5051,0.80282
7138,-0.33692,0.520455,0.818574
7221,-0.35059,0.535809,0.834328
7304,-0.36426,0.551163,0.850081
7387,-0.37793,0.566517,0.865835
7470,-0.3916,0.581871,0.881589
7553,-0.40527,0.597225,0.897343
